,random_array,algorithm,time_taken
151,21,qs5,0.00225830078125
152,21,merge1,0.0021932125091552734
153,21,partition_sort,0.0010058879852294922
154,22,qs1,0.0017459392547607422
155,22,qs2,0.0023381710052490234
156,22,qs3,0.0024089813232421875
157,22,qs4,0.0025141239166259766
158,22,qs5,0.0022509098052978516
159,22,merge1,0.002226114273071289
160,22,partition_sort,0.0010287761688232422
161,23,qs1,0.0019769668579101562
162,23,qs2,0.002427816390991211
163,23,qs3,0.0022971630096435547
164,23,qs4,0.0023789405822753906
165,23,qs5,0.0022640228271484375
166,23,merge1,0.0022170543670654297
167,23,partition_sort,0.0010101795196533203
168,24,qs1,0.0019180774688720703
169,24,qs2,0.0022270679473876953
170,24,qs3,0.0023910999298095703
171,24,qs4,0.0025920867919921875
172,24,qs5,0.0021517276763916016
173,24,merge1,0.0021991729736328125
174,24,partition_sort,0.0010030269622802734
175,25,qs1,0.0018391609191894531
176,25,qs2,0.0022199153900146484
177,25,qs3,0.0022809505462646484
178,25,qs4,0.0023107528686523438
179,25,qs5,0.0022308826446533203
180,25,merge1,0.0022079944610595703
181,25,partition_sort,0.0010037422180175781
182,26,qs1,0.001928091049194336
183,26,qs2,0.0026350021362304688
184,26,qs3,0.0028579235076904297
185,26,qs4,0.002624988555908203
186,26,qs5,0.0023932456970214844
187,26,merge1,0.0023250579833984375
188,26,partition_sort,0.001065969467163086
189,27,qs1,0.0020589828491210938
190,27,qs2,0.0027587413787841797
191,27,qs3,0.0025758743286132812
192,27,qs4,0.0023050308227539062
193,27,qs5,0.002244234085083008
194,27,merge1,0.0022819042205810547
195,27,partition_sort,0.001013040542602539
196,28,qs1,0.0018618106842041016
197,28,qs2,0.0023369789123535156
198,28,qs3,0.002171039581298828
199,28,qs4,0.0024940967559814453
200,28,qs5,0.0022630691528320312
201,28,merge1,0.002171039581298828
202,28,partition_sort,0.000993967056274414
203,29,qs1,0.0018417835235595703
204,29,qs2,0.0022962093353271484
205,29,qs3,0.0021419525146484375
206,29,qs4,0.002167940139770508
207,29,qs5,0.0022149085998535156
208,29,merge1,0.0021750926971435547
209,29,partition_sort,0.0009911060333251953
210,30,qs1,0.0017859935760498047
211,30,qs2,0.002032041549682617
212,30,qs3,0.002226114273071289
213,30,qs4,0.0023927688598632812
214,30,qs5,0.0023391246795654297
215,30,merge1,0.0021522045135498047
216,30,partition_sort,0.0009989738464355469
217,31,qs1,0.0019061565399169922
218,31,qs2,0.0022161006927490234
219,31,qs3,0.002228975296020508
220,31,qs4,0.002187013626098633
221,31,qs5,0.002172231674194336
222,31,merge1,0.0021512508392333984
223,31,partition_sort,0.0009891986846923828
224,32,qs1,0.0019047260284423828
225,32,qs2,0.0021851062774658203
226,32,qs3,0.002257108688354492
227,32,qs4,0.0023849010467529297
228,32,qs5,0.0021300315856933594
229,32,merge1,0.0022461414337158203
230,32,partition_sort,0.0010061264038085938
231,33,qs1,0.001953125
232,33,qs2,0.002212047576904297
233,33,qs3,0.002249002456665039
234,33,qs4,0.002254962921142578
235,33,qs5,0.002251148223876953
236,33,merge1,0.002205371856689453
237,33,partition_sort,0.0010302066802978516
238,34,qs1,0.0018088817596435547
239,34,qs2,0.002124786376953125
240,34,qs3,0.002235889434814453
241,34,qs4,0.0024437904357910156
242,34,qs5,0.002134084701538086
243,34,merge1,0.0021839141845703125
244,34,partition_sort,0.0010371208190917969
245,35,qs1,0.0018541812896728516
246,35,qs2,0.00220489501953125
247,35,qs3,0.002233743667602539
248,35,qs4,0.002379179000854492
249,35,qs5,0.0022230148315429688
250,35,merge1,0.0022132396697998047
